Tweet index	Tweet text	Label
2248	Beautiful day 	1
156	@Moose_eBooks You seriously bought a giant TV to play in the box?	0
2831	@NewDay: .@JebBush considering a run for the @WhiteHouse: http://t.co/nq5JO2ZrQ6 #5Things http://t.co/HC74bNlZuT <shocking> <>	1
842	 a bad game last night. Way to go Packers! http://t.co/9vvSvsEnmF	0
20	But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!	1
1963	So glad they've found a way to make the gospel socially relevant to klingons!  http://t.co/rKSId5vFkc	1
115	that is the face of a tired man hahahahah	0
1688	Kitty aaaaint happy #cat  #happy #today http://t.co/ayDMcsz7jd	0
1667	I hate it when my mind keeps drifting to someone who no longer matters in life.  #dislike	1
556	My dads letting me drywall with him for Christmas. Just what I always wanted. 	1
3760	Velvet And Rhinestones Babydoll|Size:Medium and Large|Comes with softly padded under wired shelf cups,... http://t.co/LSPWyoHrT6	0
3668	@sscottamatthews wtf where did you go	0
1721	I shouldn't lose a full day of work because of system updates, but it happened yesterday. #fuckingwindows	0
1054	"Do...or do not. There is no try. - #Yoda ""Do. Do not. Try. Try again. Repeat until you get it right."" - #JarrodDavis"	0
3251	been about you and I'm still about you	0
2065	@leannrimes yep, the family of #EricGarner is feeling really joyful right now...  #BlackLivesMatter #ShutItDown	1
37	"Twig is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq"	1
1923	"says women & blacks are a different ""species"" @Dolphin__Man @RBRNetwork1 @HarryThetech76 @TimOwensby @TheOldBreed1775"	0
822	Oh crap, Mac shutdown corrupted iPhoto so hours of rebuild ahead, so might as well eat and drink! #FestiveFattyBumBum	0
790	It seems that Erdogan sends his best regards to the EU 	1
2476	It's been one year of off and on eye twitching. #SoFun 	1
2233	@PeterEgan6 Happy Christmas to you + yours. May 2015 bring good health, happiness, every success and all you wish yourselves.	0
397	Marvin Lewis clearly thinks very highly of Johnny Football  #norespect @amicsta	1
650	330am benedryl runs for an allergic reaction to a drug which literally saves millions of lives every year. #yippee #happiness 	1
3475	"@robcarrphoto Autoincorrect strikes again. ""...than it's worth."" "	1
3102	@Matthies2 Tx, i saw that. must be a great shot to defend oneself from a fierce attacking giraffe.  #HungerGames	1
3820	Riding the distraction train. ||CHOO CHOO	0
2324	I love spending five hours a night doing homework! Please assign more teachers! 	1
201	@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier.  #MichiganMan	1
2797	"@DailyMirror Great job on reporting on a mentally unstable man and calling him ""drug crazed"" "	1
1434	Girls who dip>>> 	1
3506	Feel bad, confused over NY cop controversy. That one is on camera. @michael brown @ferguson  so clear #Love your neighbor	0
2400	"Wow.. #shocker  RT @TheAtlantic: Dick Cheney on CIA torture: ""I'd do it again in a minute"" http://t.co/CppRItMqZJ http://t.co/nS7ZnAq2Ec"	1
2236	Of course one of my lecturers happened to be at the bar/restaurant we are at for my birthday meal...	0
3515	This history essay is literally shitting on me.	0
2449	What?!? The 4 team playoff picked by 16 people didn't solve schools still being pissed?!? I'm so shocked!  #CFBPlayoff	1
533	@wecameashailee: 10 HOUR CAR RIDE AND I CANT SLEEP IN CARS YAYAAYAYAYAYAY.  have fun bff!	1
2050	If BJPee hv balls ,do dare to lift ristrictions 2mro ahead of Modi's #Kashmir visit,Kashmiris wl show u how much thy love #Modi.|	1
926	Bday lily painting for @laryssam27 :purple_heart: http://t.co/IAzvrBec91	0
649	Can't wait to see all the ig pics of people bragging about what they got  #noonegivesafuck	1
1755	"@cnsnews @AnnCoulter Obamanomics: FS & Unemployment Insurance is ""economic stimulus"". FT to PT work frees us to follow our dreams."	0
3779	It's brrrrrrr kinda feel & who would go to the kitchen to make coffee ....	0
1390	Can anyone tell iv been uploading items onto depop today lol  #lotsofdepopuploaded	1
993	NEW #HipHop MUSIC:> @Flows201 - Crack Music: http://t.co/PQmUEmlJUf #JerseyCity #NJ #NY #BirthOfAWinner	0
824	Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy! 	1
2582	A voice of reason crying in the wilderness of hysteria. http://t.co/GHWycSm5bW via @sharethis	0
3489	I hope I could recover from fever today. I need to start with strama..	0
3654	@little_lab_rat @musing_ngaio I love button pushers! 	1
379	Thanks for the AWESOME support on our #instagram page. Much appreciated. http://t.co/CShfJo0TqO #women #motivation #rolemode	0
3135	let it go #afraid#frozen http://t.co/QUcRVym5J7	0
2979	My glasses are blinding me. 	1
1910	What wonderful weather we are having...I might need sunscreen today :smiling_face_with_sunglasses:  󾍁	1
2456	THEY #CAN'T BE #IDENTIFIED|#UK should  ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS	0
1173	that fits @2014Outlaw @brownbearmike1 @real_smart_guy3 @RBRNetwork1	0
940	"Wings? I don't have wings! |""Of course not... You're a boy!"""	0
91	Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee	1
1626	|| Flattery will get me everywhere  [@TaliaHaleTW]	1
1782	Take me to church...,.	0
1921	Sums up my week really  #NursingLife #WorkingDaysAndNights http://t.co/X3vnjbiSsy	1
3661	#basura#immondizia in my name http://t.co/8IbiWx1Mfm	0
3298	@vincent_h3 At 2:30am? Who's gonna favourite it? An owl?	0
1854	Couldn't have asked for a better night.	0
2639	Is Obamacare Slowing Health Care Spending?  http://t.co/gKyyRlh689 via @forbes	0
172	That was the cutest thing ever :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss:	0
588	A romantic candlelit dinner for two would cost less if you switched the lights on -  ESKOM pic from the 1990's http://t.co/cxnIdmB3qn	1
2111	Cramming 200+ psych pages into my brain even though we learnt that cramming isn't effective 	1
3182	@ttwentyman He's just trying to drive Suh's price up. 	1
2638	Down or Not is down right now. That's  for ya http://t.co/f4WRhmHVLG	1
3185	This is what we called OTAK LETAK KAT LUTUT.|#melayu | http://t.co/wPCuJxXhtk	0
2480	Dead supportive family I've got. 	1
476	One from her please *cries* http://t.co/z0Yt6Dax7s	0
1942	White people are irrelevant at this point. The black community needs to rise ABOVE y'all are in control!!!!!! #truth	1
859	EXO COMING SOON 2015||Better pray this is better with 10 members *sighs* But either way, obssessed fans would still be obssesed ._.	0
2	@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)	1
1527	@LouiseRosalia I'm good at banter... :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:	0
3423	You missed it @cindybm2, I just watched #GoT the rains of castamere, Rob Stark and his entourage all die :-(	0
1694	Thanks to #TeamIpswich ED for making the news crew and I so welcome this morning, as they always do. #BlackFriday filming #ItWasQuiet 	1
3211	@FoxNews Just put it in first gear and they will move. Liberals won't ever give their life for a cause. They will just destroy yours.	0
1483	I come up with some ridiculous scenarios in my head :thought_balloon:	0
3464	http://t.co/wrrxlBdRBI #TeenAnalCasting #What What is the Creampie Crusade?	0
735	@SP_EnergyPeople I see your response time on your DM's is as good as your phone lines.. just no hold music. Legendary service guys.	1
1580	"*rushes to take the ""Which Christmas cookie am I?"" personality test* "	1
2974	Stop being the fan. And be the person blowing minds. 	1
3618	@SR_Duncan @restlessduncan Well it's not any worse or better than 'Stark Raving'	0
1631	 - the true definition - #Iran hosting a conference against extremist! http://t.co/BT5UJR1Cpa	1
669	@Steeeneer @TMZ I know,  right?  Not like the LAPD have anything better to do. This ain't a distraction or nothing.|	0
886	its not that so much as his lies and deceit, @TimOwensby @RBRNetwork1 @TheOldBreed1775 @real_smart_guy3 @DFW_AlertsCTC	0
3615	big up @lorenz__daley 4 ur post When cunts run through your photos:unamused_face: #its#a#struggle#its#a#problem check da n... http://t.co/yhnuWmFlmE	0
1932	So that was the inception episode. Down to the tangerine/ spinning top. Subtle. 	1
662	What a good way to start the New Year..|	1
711	Alright who was dreaming about me last night because I could not for the life of me fall asleep http://t.co/AqyWHaBsjA	0
1575	The BOLD BAKERY by Sarah-Brockett #bakery  http://t.co/zl5zxAD62Z	1
