Tweet index	Tweet text	Label
701	Ummm can I please have @KipMooreMusic for Christmas?! Dang he looks great tonight. Why did I not go to this thing tonight?	0
2048	@TorteDeLini I'll check it out. :-)	0
645	I hate when random people get in the hot tub with me #favthings #NOT https://t.co/RsjUcgRhJv	1
3233	Storm coming! #todayimloving #not http://t.co/hsNULfHz8f	1
3408	Today is already shaping up to be fabulous #sarcasm	1
1740	"By @erickaajanae ""#Bts At DIPMAGAZINE #PhotoShoot #WIFEYSERIES Me and _traviiiiis . Don't Forget To... http://t.co/v3cb77KCig"	0
2532	#not alot-still not sussed out how yo keep in touch with peop!e via twitterTwitterversary	0
2324	I love spending five hours a night doing homework! Please assign more teachers! #not	1
2894	This gone be some fire ! 🔥Jan 24th #getlifted http://t.co/X9ZJ0unHzl	0
3441	@coribeth_ guess the #bronut works best in combination with these #mentissues . wanna see this #'sneeze' #NOT http://t.co/qCQVL0pqz5	1
247	@PdpNigeria#it shows you that APC is a free and fair party#run by intellectuals#and this is what we call democracy#not dictatorship#	0
3819	I'm glad the DC Council has it's priorities intact... #sarcasm #DC	1
735	@SP_EnergyPeople I see your response time on your DM's is as good as your phone lines.. just no hold music. Legendary service guys.#sarcasm	1
506	@Chxta They were probably, contracted to work for free. #sarcasm	1
1663	walking in this was fun #not http://t.co/zypW2tsnAk	1
795	Casper the friendly ghost on 2 levels! #thingsmichelleobamathinksareracist	0
1552	he did, proof he lacks reading comprehension skills @Anan_VII @RBRNetwork1 @Dolphin__Man @Graves9	0
3302	So glad i work mornings now #not	1
1951	@cnsnews Say it ain't so, Joe.  Who would imagine a government program fraught with fraud?  Has this ever happened before? #Sarcasm	1
2348	Yay for no longer having a vehicle! #Sarcasm 😔😞	1
109	I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys 😑😑😑. Way to go #not	1
3383	I'm really talkative at night but no one is up to talk #irony	1
3486	I'm so good at sight singing. #not	1
3222	@ipathak25 @BJPDelhiState good step by BjP goons #sarcasm	1
2850	Smh. Yesterday I was losing my voice. Today woke up with a mean ass cough and a headache 😒Christmas could be any better #sarcasm	1
3599	@MrOzAtheist Presumably you have evidence to back this claim and it's not simply a feeling you have based on your interactions. #Irony	1
544	"@MorganKIRO7 Those ""waves"" are epic! #not He he"	1
1610	A whole day at NS w/clients. YAY. #not	1
2388	@Watchthisface25 looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳 #not	1
3226	@abby_zeigler @BabyAnimalPics @Splain_it_to_me @mestudmuffin tweeted this at me yesterday	0
1961	Not felt this I'll since I was in kos! Eugh a great end to a great week...... #sarcasm #beenshite #killme	1
799	@CommunityMike what's the law for parking on a residential street, on the opposite side of the road facing the wrong direction? #curiosity	0
970	Less than 5 hours sleep, fantastic #not 😁	1
1706	make up hours sound fun. #not	1
613	http://t.co/NA81q6lLGp #SchoolSystem Update #Textbook Lies to support #Evolution theory. #Tco... http://t.co/UERNS7uCoM	0
1768	James Burke Connections, Episode 7 A Special Place: http://t.co/tp7MwdvwCW via @YouTube #This is #Not /-\ #DRILL <()>	0
2358	Good morning hank its saturday im starving	0
986	@Jordanbrown_97 haha quite right mate! They coonty workers have got it aff easy Al tell ye! Oot here workin like a hamilton accie 👳 #not 😂😂	1
486	@f_fizzle did you get fat on your honeymoon?	0
2217	just exactly how I wanted to start my day!!! #not #shitty	1
3376	This week just keeps getting better and better #sarcasm	1
1565	Husband coming home early? #mongkok #kowloon #hongkong #dongiotravels #irony #50thfloor ... http://t.co/vvAWP30vua http://t.co/qdEScaifSk	1
259	In need of a rose winee🍷🍷	0
387	You can spit on a rose but it's still a rose.  #contempt  #sarcasm  #mockery	0
2467	@EBCooper13 So you condone murder for rude people?||File that under Nincompoop Update	0
2299	Another @virginmedia #Irony moment. We can't be bothered to fix your broadband problem but would you like to buy an Iphone6 of us! HELL NO!!	1
3069	@y_al_yahya Doubt I was the first to block you. But you pretend good. #not @Brainman365 @Waypoint5 @alcoolafiction @AtheistQ @Atheist_Eh	1
2969	Why can't I (You) retweet my (your) own tweets? This is an important issue that needs to be resolved! #Sarcasm	1
2744	@Ms_ForgetMeNot oh lordy! Eating out was the hardest or going to someone's place. Esp as I don't eat meat.*eye roll* what can we feed her?	0
843	@stillfallin_ great Christmas. #not	1
210	The whole #Misogyny thing is hanging in there with Women from the right #Not. A cat fight now ?, imagine pulling that on the left #pmlive	1
3473	My favorite new app is Chicago's Comedy Scene (CCS_Radio). You should check it out. #Chicago #Comedy	0
1158	Uh-oh. Better head for the hills. #storm #clouds #seekshelter http://t.co/CXJ6XIcoyS	0
3213	@jasonmatheson @jamieyuccas see you in Burnsville at 5pm!	0
3405	Listening to Tron:Legacy album while cleaning, makes you feel like you can clean the world.	0
2782	Yups sarcasm and wine!  #winelover #sarcasm 😊💁 http://t.co/ZKJ58DKjtE	0
597	And my christmas shopping is done.	0
3223	@mrjohner @cebsilver We can vote Republican! Their Civil rights record and their ability to empathize is amazing. #sarcasm.	1
1282	Here comes the universe. #TMLtalk #Leafs	0
297	People at my school only talk about sex and drugs. So awesome #not	1
1053	Love scooping feed bunks before we can feed calves #not	1
508	A very happy birthday to @sillybrendan - we'll be toasting in your honor tonight. @brad4word @Case4Cleveland	0
8	4:30 an opening my first beer now gonna be a long night/day	0
2642	Do I...do I want to know what he has in the bag? #Cthulhu #Christmas #Lovecraft #SantaClaus #funny http://t.co/NhBVda3Q2b	0
3514	@richdiced yup, more is definitely MORE! #fosho #merrycuteness	0
3049	i just loove when my guy friends give me thorough descriptions of their bowel movements... #NOT #WHY #STOPTHIS	1
2280	Dear Next Person that seeks to educate me on anything PLEASE be very educated themselves, which means knowing multiple points of view http:...	0
2700	@CaycePryhs Careful, Cayce. That's almost a racist statement. #sarcasm @william_1492 @CaseyParksIt @PhyIis	1
2985	Ah, a week until my next medschool interview 😁	0
1627	@SkyNews Wow! I can now afford that holiday I've always wanted! #sarcasm	1
2858	tramp shit #youoweme #follow #NOT http://t.co/i0TxDIPTwA	1
3695	How far would you go for #safety? http://t.co/cN4Nv8FDf0 #onlinedating #relationships via @TheM3Blog	0
2662	#sarcasm at peak!! ;) http://t.co/1uHgVlNzfp	0
791	Yay for my family leaving & going to Seneca & leaving me to fend for myself. #Not	1
2761	@VeIvetRose @PG1888 #Not of course, Not!	0
1960	Rocking the Christmas socks at work. It's the little things like this that make me happy. #essentialservice 🎅🎄 http://t.co/E5jqetthIt	0
3572	@greenacre11 get ready for another one on Saturday #not	1
1730	The ugly truth... #abuse #not #enough #words http://t.co/F7ngPbF2yz	0
1264	@Mike_Ashley_Out @towlawrian @nufcfans I guess this is where he lost a couple of million to Lambias, is it? #Sarcasm  #LudicrousStory	1
