"text"	"prediction"
"Para TIM, mudanças regulatórias devem acontecer em conjunto -  / telecom telefonia mercado regulação economia "	0
"Quando cheguei a Montemor, gozavam comigo por montar a cavalo, agora toda a gente anda na equitação "	1
"“: Trepidante liderança"" Foi , Marisa BBB15” Ela não pegou."""	1
"  Sim sim... nego não sabe diferenciar... você tem que colocar no final  sério"	1
" Obg Rosa !! Mas Mariza n faz fofoca kkkk tem 51 e é um amor de pessoa "	1
"Se fosse à duas semanas, vinha ter comigo.Agora? Agora passa por mim e nao diz nada.  ta a dar o bar dapraia haha xD"	1
"Foram legais com os negros, deram uniformes...  RacismoAindaExiste "	1
"Para ser bem sincera eu amo arrotar. Mas sou mocinha então tenho que guardar pra mim.. ."	1
"   BDO para Cristiano."	1
"Seu Filho Quer Ser Preto ??Haaa'"	1
"Jogador do Inter apelidado de Valdivia faz um golaço contra o...Palmeiras   via "	1
"RT @O_Kubiaki: Festa dos amigos de fim do mundo, Indiada de fim do mundo, Sarau do fim do mundo, na boa acho que não vou em nenhum desses eventos."	1
"Verdade Arrascaeta, Joel,  Paulo André, Damião, Henrique, Willians, Mena, Fabiano e Riascos e tudo fraco ."	1
"- miga, tava sentindo falta de suas perguntas hj."	1
"Mulher não sabe nem se cuidar para evitar filhos, fica aí na TV querendo fazer parte da política... "	1
"Venezuela um país democrático, e como todo país democrático ele convive bem com ideias opostas   Maduro só... "	1
":- Amo quando combino as coisas e há sempre um/a filho da puta que desmarca em cima da hora."	1
"? Sim... Ironizando para vocês,Sigam minhas frases e versos, poemas também, só curtir a… "	1
"Como é bom uma caipira né GABRIEL!  "	1
"Colagen MaxTitanium 28% d economia mais ofertas no nosso buscador Compare Preços d suplementos e economize!"	0
"Mais de 1,8 milhão de trabalhadores ainda não sacaram abono salarial   economia"	0
"Senado adia calendário da reforma trabalhista após pressão  notícias Economia "	0
"O homem que vive censurado e derrubando a internet... usando a internet para pedir socorro. "	1
"O teste de hj vai ser lindo...deve me correr que nem um mimo"	1
"Ñ há erro. De um lado um petralha arrastado, do outro um cristão com a esposa.   "	1
"A NECESSÁRIA RETOMADA DOS INVESTIMENTOS NO SETOR DE CONSTRUÇÃO -Construção Infraestrutura Economia Brasil"	0
"Sinto intensamente seu calor no meu colo e sobre minhas pernas. Vê se esfria, notebook. "	1
"pegou um grupo fácil. "	1
" (...) outro amor na vida igual ao amor de mãe."";;@misterpinkeyes;#ironia;701571956747980801"""	1
"  é, time pipocou..."	1
"Agora tem que pôr a hashtag  pras pessoas entenderem."	1
"Nada mais normal que tomarem essa atitude   "	1
"Cara , obrigado por ler minhas crônicas! "	1
"Adoro a  do  ..."	1
